CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Telangana Circle,Hyderabad Region,Nizamabad Division,Kalwaral B.O,503145,BO,Delivery,KAMAREDDY,TELANGANA,18.44509,78.240281
Telangana Circle,Hyderabad Region,Nizamabad Division,Bhoompalli B.O,503145,BO,Delivery,KAMAREDDY,TELANGANA,18.4101118,78.2721116
Telangana Circle,Hyderabad Region,Nizamabad Division,Kupriyal B.O,503145,BO,Delivery,KAMAREDDY,TELANGANA,18.3661903,78.2836704
Telangana Circle,Hyderabad Region,Nizamabad Division,Endriyal B.O,503120,BO,Delivery,KAMAREDDY,TELANGANA,18.2792248,78.2341277
Telangana Circle,Hyderabad Region,Nizamabad Division,Boregaon B.O,503235,BO,Delivery,NIZAMABAD,TELANGANA,18.7618413,77.9210267
Telangana Circle,Hyderabad Region,Nizamabad Division,Hangarga B.O,503235,BO,Delivery,NIZAMABAD,TELANGANA,18.7918788,77.8730326
Telangana Circle,Hyderabad Region,Nizamabad Division,Kandagaon B.O,503235,BO,Delivery,NIZAMABAD,TELANGANA,18.7458966,77.947735
Telangana Circle,Hyderabad Region,Nizamabad Division,Neela B.O,503235,BO,Delivery,NIZAMABAD,TELANGANA,18.7458966,77.947735
Telangana Circle,Hyderabad Region,Nizamabad Division,Kistapur B.O,503321,BO,Delivery,KAMAREDDY,TELANGANA,18.4491407,77.8153681
Telangana Circle,Hyderabad Region,Nizamabad Division,Sangam B.O,503185,BO,Delivery,NIZAMABAD,TELANGANA,18.6010736,77.9141242
Telangana Circle,Hyderabad Region,Nizamabad Division,Hansa B.O,503185,BO,Delivery,NIZAMABAD,TELANGANA,18.6680476,77.7787256
Telangana Circle,Hyderabad Region,Nizamabad Division,Jadijamalpur B.O,503185,BO,Delivery,NIZAMABAD,TELANGANA,18.701231,77.8537928
Telangana Circle,Hyderabad Region,Nizamabad Division,Mavandikalan B.O,503185,BO,Delivery,NIZAMABAD,TELANGANA,18.7154871,77.8797369
Telangana Circle,Hyderabad Region,Nizamabad Division,Bardipur B.O,503230,BO,Delivery,NIZAMABAD,TELANGANA,18.647018,78.133392
Telangana Circle,Hyderabad Region,Nizamabad Division,Mahabub Farm B.O,503202,BO,Delivery,NIZAMABAD,TELANGANA,18.6937116,78.052145
Telangana Circle,Hyderabad Region,Nizamabad Division,Mangalpahad B.O,503202,BO,Delivery,NIZAMABAD,TELANGANA,18.6937116,78.052145
Telangana Circle,Hyderabad Region,Nizamabad Division,Ashok Farm B.O,503246,BO,Delivery,NIZAMABAD,TELANGANA,18.8111298,78.0629922
